アクメシア	Akumesia
砂漠狩りリザルト	砂漠狩りリザルト
砂漠簡易解放	砂漠簡易解放
簡易砂漠狩りリザルト	簡易砂漠狩りリザルト
砂漠獲得報酬	砂漠獲得報酬
砂漠達成状況	砂漠達成状況
砂漠達成レベル	砂漠達成レベル
砂漠ランクSS	砂漠ランクSS
砂漠ランクS	砂漠ランクS
砂漠ランクA	砂漠ランクA
砂漠ランクB	砂漠ランクB
砂漠ランクC	砂漠ランクC
雪山狩り	雪山狩り
ハンターベースシステム\モンスター狩り\雪山\	ハンターベースシステム\モンスター狩り\雪山\
雪山狩り数	雪山狩り数
雪山狩りリザルト	雪山狩りリザルト
雪山簡易解放	雪山簡易解放
簡易雪山狩りリザルト	簡易雪山狩りリザルト
雪山獲得報酬	雪山獲得報酬
雪山達成状況	雪山達成状況
雪山達成レベル	雪山達成レベル
雪山ランクSS	雪山ランクSS
雪山ランクS	雪山ランクS
雪山ランクA	雪山ランクA
雪山ランクB	雪山ランクB
雪山ランクC	雪山ランクC
王家の谷狩り	王家の谷狩り
ハンターベースシステム\モンスター狩り\王家の谷\	ハンターベースシステム\モンスター狩り\王家の谷\
王家の谷狩り数	王家の谷狩り数
王家の谷狩りリザルト	王家の谷狩りリザルト
王家の谷簡易解放	王家の谷簡易解放
簡易王家の谷リザルト	簡易王家の谷リザルト
王家の谷獲得報酬	王家の谷獲得報酬
王家の谷達成状況	王家の谷達成状況
王家の谷達成レベル	王家の谷達成レベル
王家の谷ランクSS	王家の谷ランクSS
王家の谷ランクS	王家の谷ランクS
王家の谷ランクA	王家の谷ランクA
王家の谷ランクB	王家の谷ランクB
王家の谷ランクC	王家の谷ランクC
ボス出現	ボス出現
ハンターベースシステム\ボスモンスター\	ハンターベースシステム\ボスモンスター\
ボスHP	Boss HP
草原ボス	Grassland
ハンターベースシステム\ボスモンスター\草原\	ハンターベースシステム\ボスモンスター\草原\
草原ボス戦闘	草原ボス戦闘
草原レベル1解放	草原レベル1解放
草原レベル2解放	草原レベル2解放
草原レベル3解放	草原レベル3解放
草原ボスレベル	草原ボスレベル
草原ボス討伐レベル	草原ボス討伐レベル
ジャングルボス	ジャングルボス
ハンターベースシステム\ボスモンスター\ジャングル\	ハンターベースシステム\ボスモンスター\ジャングル\
ジャングルボス戦闘	ジャングルボス戦闘
ジャングルレベル1解放	ジャングルレベル1解放
ジャングルレベル2解放	ジャングルレベル2解放
ジャングルレベル3解放	ジャングルレベル3解放
ジャングルボスレベル	ジャングルボスレベル
ジャングルボス討伐レベル	ジャングルボス討伐レベル
砂漠ボス	砂漠ボス
ハンターベースシステム\ボスモンスター\砂漠\	ハンターベースシステム\ボスモンスター\砂漠\
砂漠ボス戦闘	砂漠ボス戦闘
砂漠レベル1解放	砂漠レベル1解放
砂漠レベル2解放	砂漠レベル2解放
砂漠レベル3解放	砂漠レベル3解放
砂漠ボスレベル	砂漠ボスレベル
砂漠ボス討伐レベル	砂漠ボス討伐レベル
雪山ボス	雪山ボス
ハンターベースシステム\ボスモンスター\雪山\	ハンターベースシステム\ボスモンスター\雪山\
雪山ボス戦闘	雪山ボス戦闘
雪山レベル1解放	雪山レベル1解放
雪山レベル2解放	雪山レベル2解放
雪山レベル3解放	雪山レベル3解放
雪山ボスレベル	雪山ボスレベル
雪山ボス討伐レベル	雪山ボス討伐レベル
王家の谷ボス	王家の谷ボス
ハンターベースシステム\ボスモンスター\王家の谷\	ハンターベースシステム\ボスモンスター\王家の谷\
王家の谷ボス戦闘	王家の谷ボス戦闘
王家の谷レベル1解放	王家の谷レベル1解放
王家の谷レベル2解放	王家の谷レベル2解放
王家の谷レベル3解放	王家の谷レベル3解放
王家の谷ボスレベル	王家の谷ボスレベル
王家の谷ボス討伐レベル	王家の谷ボス討伐レベル
教会街貢献	教会街貢献
ハンターベースシステム\街貢献\	ハンターベースシステム\街貢献\
教会街達成状況	教会街達成状況
教会街レベル	教会街レベル
教会街Complete	教会街Complete
ハンターズキャンプ貢献	ハンターズキャンプ貢献
ハンターズキャンプ達成状況	ハンターズキャンプ達成状況
ハンターズキャンプレベル	ハンターズキャンプレベル
ハンターズキャンプComplete	ハンターズキャンプComplete
スラム街貢献	スラム街貢献
スラム街達成状況	スラム街達成状況
スラム街レベル	スラム街レベル
スラム街Complete	スラム街Complete
港貢献	港貢献
港達成状況	港達成状況
港Complete	港Complete
港ミニゲーム	港ミニゲーム
港レベル	港レベル
戦闘ターンカウント	戦闘ターンカウント
ハンターベースシステム\訓練\	ハンターベースシステム\訓練\
レベル1ターン記録	レベル1ターン記録
レベル2ターン記録	レベル2ターン記録
レベル3ターン記録	レベル3ターン記録
レベル4ターン記録	レベル4ターン記録
訓練開始	訓練開始
訓練レベル2開始	訓練レベル2開始
訓練レベル3開始	訓練レベル3開始
訓練レベル4開始	訓練レベル4開始
訓練レベル1	訓練レベル1
訓練レベル2	訓練レベル2
訓練レベル3	訓練レベル3
訓練レベル4	訓練レベル4
兵士レベル	兵士レベル
ハンターベースシステム\	ハンターベースシステム\
鑑定カウント	鑑定カウント
攻撃力	Attack
アクメシステム\	アクメシステム\
素早さ	Speed
魔力	Magic
属性攻撃	Attribute Damage
HP	HP
MP	MP
アクメパワー	アクメパワー
マリアアクメレベル	マリアアクメレベル
マリアアクメスキル1	マリアアクメスキル1
マリアアクメスキル2	マリアアクメスキル2
マリアアクメスキル3	マリアアクメスキル3
アリスアクメレベル	アリスアクメレベル
アリスアクメスキル1	アリスアクメスキル1
アリスアクメスキル2	アリスアクメスキル2
アリスアクメスキル3	アリスアクメスキル3
ニアアクメレベル	ニアアクメレベル
ニアアクメスキル1	ニアアクメスキル1
ニアアクメスキル2	ニアアクメスキル2
ニアアクメスキル3	ニアアクメスキル3
ココアクメレベル	ココアクメレベル
ココアクメスキル1	ココアクメスキル1
ココアクメスキル2	ココアクメスキル2
ココアクメスキル3	ココアクメスキル3
シャルロットアクメレベル	シャルロットアクメレベル
シャルロットアクメスキル1	シャルロットアクメスキル1
シャルロットアクメスキル2	シャルロットアクメスキル2
シャルロットアクメスキル3	シャルロットアクメスキル3
ゲーム開始スイッチ	ゲーム開始スイッチ
シャルロット病室表示	シャルロット病室表示
バトルチュートリアル	バトルチュートリアル
チュートリアルスイッチ\	チュートリアルスイッチ\
ボスチュートリアル	ボスチュートリアル
狩りモードチュートリアル	狩りモードチュートリアル
チュートリアル1	チュートリアル1
チュートリアル2	チュートリアル2
チュートリアル3	チュートリアル3
チュートリアル4	チュートリアル4
チュートリアル5	チュートリアル5
チュートリアル6	チュートリアル6
チュートリアル7	チュートリアル7
ソードマンオン	ソードマンオン
バトル関連\	バトル関連\
邪龍状態	邪龍状態
ウィザードオン	ウィザードオン
ヒーラーオン	ヒーラーオン
バトルファスト	バトルファスト
バトルファストオフ	バトルファストオフ
バトルファストオン	バトルファストオン
ラストバトル	ラストバトル
ラストバトル演出	ラストバトル演出
バトルインフォ	バトルインフォ
バトルインフォ表示	バトルインフォ表示
バトルステータス状態	バトルステータス状態
バトル_行動種別	バトル_行動種別
バトル_対象モンスター	バトル_対象モンスター
バトル_使用スキル	バトル_使用スキル
バトル_モンスター状態	バトル_モンスター状態
バトル_行動対象	バトル_行動対象
バトル_モンスター情報	バトル_モンスター情報
主人公ステータス取得	主人公ステータス取得
兵士ステータス1	兵士ステータス1
兵士ステータス2	兵士ステータス2
兵士ステータス3	兵士ステータス3
大技発動	大技発動
セラフィックノヴァ	セラフィックノヴァ
リクレイムソウル	リクレイムソウル
リベレイテッドソウルHP	リベレイテッドソウルHP
ハーレム開始	Harem Start
ドラゴン表示	Dragon Display
イベント制御用	Event Control
イベント制御用2	Event Control 2
乱数	Random Number
アイテム取得乱数	Item Get Random
ベッド解放	Bed Release
ベッドON	Bed ON
開始	Start
ヒロイン2好感度	Heroine 2 Affection
ヒロイン2淫乱度	Heroine 2 Lewdness
ba9e38f1-16c0-4848-b85f-44868d352392DOUBLE-1	ba9e38f1-16c0-4848-b85f-44868d352392DOUBLE-1
草原ボスレベル3	Grassland Boss Level 3
ココお泊り選択’オン	Coco Sleepover Choice On
シャルロットお泊り選択’オン	Charlotte Sleepover Choice On
アップルパイ作成可能	Apple Pie Crafting Available
魚のムニエル作成可能	Fish Meuniere Crafting Available
ニアお泊り選択’オン	Nia Sleepover Choice 'On
ニアセックス可能	Nia Sex Available
ココセックス可能	Coco Sex Available
シャルロットセックス可能	Charlotte Sex Available
アリス教会街会話	Alice Church District Conversation
ニア教会街会話	Nia Church District Conversation
